# English|Svenska|Dansk|Norsk bokmål|Deutsch
{count} train movements|{count} tågrörelser|{count} togbevægelser|{count} togbevegelser|{count} Zugbewegungen
No published version|Ingen version publicerad|Ingen publiceret version|Ingen publisert versjon|Keine veröffentlichte Version
The first publication creates a complete runtime package and a connection code.|Den första publiceringen skapar ett komplett driftpaket och en anslutningskod.|Den første publicering opretter en komplet driftspakke og en forbindelseskode.|Den første publiseringen oppretter en komplett driftspakke og en tilkoblingskode.|Die erste Veröffentlichung erstellt ein vollständiges Betriebspaket und einen Verbindungscode.
Technical information|Teknisk information|Teknisk information|Teknisk informasjon|Technische Informationen
Cloud identity|Cloud-identitet|Cloud-identitet|Cloud-identitet|Cloud-Identität
AI import|AI-import|AI-import|AI-import|KI-Import
Model|Modell|Model|Modell|Modell
New OpenAI API key|Ny OpenAI API-nyckel|Ny OpenAI API-nøgle|Ny OpenAI API-nøkkel|Neuer OpenAI-API-Schlüssel
Save settings|Spara inställningar|Gem indstillinger|Lagre innstillinger|Einstellungen speichern
Downloads the latest main version, backs up data and replaces the container through the host update service.|Hämtar senaste versionen från main, säkerhetskopierar data och byter container via värdens uppdateringstjänst.|Henter seneste main-version, sikkerhedskopierer data og udskifter containeren via værtens opdateringstjeneste.|Henter siste main-versjon, sikkerhetskopierer data og bytter containeren via vertens oppdateringstjeneste.|Lädt die neueste main-Version, sichert die Daten und ersetzt den Container über den Updatedienst des Hosts.
The previous version was restored automatically.|Föregående version återställdes automatiskt.|Den tidligere version blev gendannet automatisk.|Den forrige versjonen ble gjenopprettet automatisk.|Die vorherige Version wurde automatisch wiederhergestellt.
Choose platform|Välj plattform|Vælg platform|Velg plattform|Plattform auswählen
Recommended installation|Rekommenderad installation|Anbefalet installation|Anbefalt installasjon|Empfohlene Installation
For a physical TrainMeet Server on the meet's local network.|För en fysisk TrainMeet Server på träffens lokala nätverk.|Til en fysisk TrainMeet Server på træffets lokale netværk.|For en fysisk TrainMeet Server på treffets lokale nettverk.|Für einen physischen TrainMeet Server im lokalen Netzwerk des Treffens.
Install the operating system.|Installera operativsystemet.|Installér operativsystemet.|Installer operativsystemet.|Betriebssystem installieren.
Connect to the network and open Terminal.|Anslut till nätverket och öppna Terminal.|Forbind til netværket og åbn Terminal.|Koble til nettverket og åpne Terminal.|Mit dem Netzwerk verbinden und Terminal öffnen.
Install TrainMeet Server.|Installera TrainMeet Server.|Installér TrainMeet Server.|Installer TrainMeet Server.|TrainMeet Server installieren.
Restart the Pi.|Starta om Pi:n.|Genstart Pi'en.|Start Pi-en på nytt.|Pi neu starten.
Open the server.|Öppna servern.|Åbn serveren.|Åpne serveren.|Server öffnen.
Complete first-time setup.|Slutför första installationen.|Afslut førstegangsopsætningen.|Fullfør førstegangsoppsettet.|Ersteinrichtung abschließen.
Update later|Uppdatera senare|Opdatér senere|Oppdater senere|Später aktualisieren
System → Software update|System → Programuppdatering|System → Softwareopdatering|System → Programoppdatering|System → Softwareupdate
Install the prerequisites.|Installera förutsättningarna.|Installér forudsætningerne.|Installer forutsetningene.|Voraussetzungen installieren.
Open PowerShell.|Öppna PowerShell.|Åbn PowerShell.|Åpne PowerShell.|PowerShell öffnen.
Download and start the server.|Hämta och starta servern.|Hent og start serveren.|Last ned og start serveren.|Server herunterladen und starten.
One command without Docker|Enradare utan Docker|Én kommando uden Docker|Én kommando uten Docker|Ein Befehl ohne Docker
Open Terminal.|Öppna Terminal.|Åbn Terminal.|Åpne Terminal.|Terminal öffnen.
Linux server|Linuxserver|Linuxserver|Linux-server|Linux-Server
Connect by SSH for a remote server.|Anslut via SSH om servern är fjärrstyrd.|Forbind via SSH til en fjernserver.|Koble til via SSH for en ekstern server.|Bei einem entfernten Server per SSH verbinden.
Install as a regular user.|Installera som vanlig användare.|Installér som almindelig bruger.|Installer som vanlig bruker.|Als normaler Benutzer installieren.
Check the service.|Kontrollera tjänsten.|Kontrollér tjenesten.|Kontroller tjenesten.|Dienst prüfen.
Advanced operation|Avancerad drift|Avanceret drift|Avansert drift|Erweiterter Betrieb
Prepare your workstation.|Förbered arbetsdatorn.|Forbered arbejdscomputeren.|Klargjør arbeidsmaskinen.|Arbeitsrechner vorbereiten.
Download and install the chart.|Hämta och installera chartet.|Hent og installér chartet.|Last ned og installer chartet.|Chart herunterladen und installieren.
Check the installation.|Kontrollera installationen.|Kontrollér installationen.|Kontroller installasjonen.|Installation prüfen.
Open securely.|Öppna säkert.|Åbn sikkert.|Åpne sikkert.|Sicher öffnen.
Important|Viktigt|Vigtigt|Viktig|Wichtig
Once the server is installed|När servern är installerad|Når serveren er installeret|Når serveren er installert|Nach der Serverinstallation
Full README|Fullständig README|Komplet README|Fullstendig README|Vollständige README
First connected|Först kopplad|Først tilsluttet|Først tilkoblet|Erstmals verbunden
· last seen|· senast sedd|· sidst set|· sist sett|· zuletzt gesehen
# Local Server navigation, setup and operations
0 selected|0 markerade|0 markeret|0 valgt|0 ausgewählt
1 · Stations in order|1 · Stationer i ordning|1 · Stationer i rækkefølge|1 · Stasjoner i rekkefølge|1 · Betriebsstellen in Reihenfolge
1. Stations in order|1. Stationer i ordning|1. Stationer i rækkefølge|1. Stasjoner i rekkefølge|1. Betriebsstellen in Reihenfolge
2 · Sections|2 · Sträckor|2 · Strækninger|2 · Strekninger|2 · Streckenabschnitte
2. Sections|2. Sträckor|2. Strækninger|2. Strekninger|2. Streckenabschnitte
3 · TMBox panels A–D|3 · TMBox-paneler A–D|3 · TMBox-paneler A–D|3 · TMBox-paneler A–D|3 · TMBox-Panels A–D
3. TMBox panels|3. TMBox-paneler|3. TMBox-paneler|3. TMBox-paneler|3. TMBox-Panels
12 hours|12 timmar|12 timer|12 timer|12 Stunden
24 hours|24 timmar|24 timer|24 timer|24 Stunden
3 days|3 dygn|3 døgn|3 døgn|3 Tage
7 days|7 dygn|7 døgn|7 døgn|7 Tage
Active runtime|Aktiv runtime|Aktiv drift|Aktiv drift|Aktiver Betrieb
Connect TMBox|Anslut TMBox|Tilslut TMBox|Koble til TMBox|TMBox verbinden
Address selected|Adress vald|Adresse valgt|Adresse valgt|Adresse ausgewählt
Address, port and code for a TMBox. Shown on all displays by default.|Adress, port och kod som en TMBox behöver. Visas som standard på alla skärmar.|Adresse, port og kode til en TMBox. Vises som standard på alle skærme.|Adresse, port og kode til en TMBox. Vises som standard på alle skjermer.|Adresse, Port und Code für eine TMBox. Standardmäßig auf allen Anzeigen sichtbar.
Active TMBox panels|Aktiva TMBox-paneler|Aktive TMBox-paneler|Aktive TMBox-paneler|Aktive TMBox-Panels
Active sections|Aktiva sträckor|Aktive strækninger|Aktive strekninger|Aktive Streckenabschnitte
Activate the new version|Aktivera den nya versionen|Aktivér den nye version|Aktiver den nye versjonen|Neue Version aktivieren
Activate downloaded version|Aktivera hämtad version|Aktivér hentet version|Aktiver nedlastet versjon|Heruntergeladene Version aktivieren
Connect a TMBox|Anslut en TMBox|Tilslut en TMBox|Koble til en TMBox|Eine TMBox verbinden
Connecting to TrainMeet Server …|Ansluter till TrainMeet Server …|Forbinder til TrainMeet Server …|Kobler til TrainMeet Server …|Verbindung zu TrainMeet Server wird hergestellt …
Note|Anteckning|Note|Notat|Notiz
Automatic Cloud updates|Automatiska Cloud-uppdateringar|Automatiske Cloud-opdateringer|Automatiske Cloud-oppdateringer|Automatische Cloud-Updates
Deselect|Avmarkera|Fravælg|Fjern valg|Auswahl aufheben
A–D from the active runtime|A–D från körande runtime|A–D fra aktiv drift|A–D fra aktiv drift|A–D aus dem aktiven Betrieb
Exceptions only|Bara avvikelser|Kun afvigelser|Bare avvik|Nur Abweichungen
Build from station order|Bygg från stationsordningen|Byg ud fra stationsrækkefølgen|Bygg fra stasjonsrekkefølgen|Aus Betriebsstellenreihenfolge erstellen
Build sections between stations and one A–D panel per station.|Bygg sträckor mellan stationerna och en A–D-panel per station.|Byg strækninger mellem stationerne og ét A–D-panel pr. station.|Bygg strekninger mellom stasjonene og ett A–D-panel per stasjon.|Streckenabschnitte zwischen Betriebsstellen und je ein A–D-Panel erstellen.
Build steps|Byggsteg|Byggetrin|Byggetrinn|Aufbauschritte
Start over without losing administrator access|Börja om utan att förlora administratörsåtkomsten|Start forfra uden at miste administratoradgang|Start på nytt uten å miste administratortilgang|Neu beginnen, ohne den Administratorzugang zu verlieren
Cloud owns the content. Stations and timetables are locked here.|Cloud äger innehållet. Stationer och tidtabell är låsta här.|Cloud styrer indholdet. Stationer og køreplan er låst her.|Cloud styrer innholdet. Stasjoner og rutetabell er låst her.|Cloud verwaltet die Inhalte. Betriebsstellen und Fahrplan sind hier gesperrt.
Cloud connection|Cloud-koppling|Cloud-forbindelse|Cloud-tilkobling|Cloud-Verbindung
Cloud connection steps|Cloud-kopplingens steg|Trin for Cloud-forbindelse|Trinn for Cloud-tilkobling|Schritte zur Cloud-Verbindung
Config server|Config-server|Config-server|Config-server|Config-Server
The meet above is the server's active configuration. Copy it to edit it locally.|Den aktiva träffen ovan är serverns körande konfiguration. Kopiera den om du vill ändra den lokalt.|Træffet ovenfor er serverens aktive konfiguration. Kopiér det for at redigere lokalt.|Treffet ovenfor er serverens aktive konfigurasjon. Kopier det for å redigere lokalt.|Das obige Treffen ist die aktive Serverkonfiguration. Kopiere es zur lokalen Bearbeitung.
Immediately when clear|Direkt om ledigt|Straks når fri|Straks når ledig|Sofort bei freier Strecke
Immediately when the section is clear|Direkt om sträckan är ledig|Straks når strækningen er fri|Straks når strekningen er fri|Sofort bei freiem Streckenabschnitt
You received a code from the person who invited you. Use it once, then sign in normally.|Du har fått en kod av den som bjöd in dig. Den gäller en gång, och sedan loggar du in som vanligt.|Du har fået en kode fra den, der inviterede dig. Brug den én gang, og log derefter ind som normalt.|Du har fått en kode fra den som inviterte deg. Bruk den én gang, og logg deretter inn som vanlig.|Du hast vom Einladenden einen Code erhalten. Verwende ihn einmal und melde dich danach wie gewohnt an.
One revision pending|En revision väntar|En revision venter|En revisjon venter|Eine Revision steht aus
Device|Enhet|Enhed|Enhet|Gerät
An exported runtime package, validated before activation.|Ett exporterat driftpaket, validerat innan det aktiveras.|En eksporteret driftspakke, valideret før aktivering.|En eksportert driftspakke, validert før aktivering.|Ein exportiertes Betriebspaket, vor der Aktivierung geprüft.
Fullscreen views|Fullskärmsvyer|Fuldskærmsvisninger|Fullskjermvisninger|Vollbildansichten
Physical devices|Fysiska enheter|Fysiske enheder|Fysiske enheter|Physische Geräte
Move down|Flytta ned|Flyt ned|Flytt ned|Nach unten
Move up|Flytta upp|Flyt op|Flytt opp|Nach oben
Shift time|Flytta tid|Flyt tid|Flytt tid|Zeit verschieben
Flows|Flöden|Forløb|Forløp|Abläufe
Ongoing sync|Fortsatt synk|Fortsat synkronisering|Videre synkronisering|Fortlaufende Synchronisierung
Standalone station|Fristående station|Selvstændig station|Frittstående stasjon|Eigenständige Betriebsstelle
Driver|Förare|Lokomotivfører|Lokfører|Triebfahrzeugführer
Complete setup|Färdigställ installationen|Afslut opsætning|Fullfør oppsett|Einrichtung abschließen
Review a complete runtime package|Granska ett komplett driftpaket|Gennemgå en komplet driftspakke|Gjennomgå en komplett driftspakke|Vollständiges Betriebspaket prüfen
Review and activate|Granska och aktivera|Gennemgå og aktivér|Gjennomgå og aktiver|Prüfen und aktivieren
Grouping|Gruppering|Gruppering|Gruppering|Gruppierung
Speed (× real time)|Hastighet (× realtid)|Hastighed (× realtid)|Hastighet (× sanntid)|Zeitfaktor (× Echtzeit)
Entire layout|Hela banan|Hele banen|Hele banen|Gesamte Anlage
Fullscreen|Helskärm|Fuldskærm|Fullskjerm|Vollbild
Fetch from active meet|Hämta från aktiva träffen|Hent fra aktivt træf|Hent fra aktivt treff|Aus aktivem Treffen laden
Fetch stations, sections and timetable from the active meet as a starting point.|Hämta stationer, sträckor och tidtabell från den aktiva träffen att utgå ifrån.|Hent stationer, strækninger og køreplan fra det aktive træf som udgangspunkt.|Hent stasjoner, strekninger og rutetabell fra det aktive treffet som utgangspunkt.|Betriebsstellen, Streckenabschnitte und Fahrplan aus dem aktiven Treffen als Ausgangspunkt laden.
Fetch the meet from TrainMeet Cloud|Hämta träffen från TrainMeet Cloud|Hent træffet fra TrainMeet Cloud|Hent treffet fra TrainMeet Cloud|Treffen von TrainMeet Cloud laden
Download version|Hämta versionen|Hent versionen|Last ned versjonen|Version herunterladen
Downloads the latest GitHub version, backs up the database and installs automatically.|Hämtar senaste versionen från GitHub, säkerhetskopierar databasen och installerar automatiskt.|Henter seneste version fra GitHub, sikkerhedskopierer databasen og installerer automatisk.|Henter siste versjon fra GitHub, sikkerhetskopierer databasen og installerer automatisk.|Lädt die neueste GitHub-Version, sichert die Datenbank und installiert automatisch.
On time|I tid|Rettidig|I rute|Pünktlich
Import and publishing|Import och publicering|Import og publicering|Import og publisering|Import und Veröffentlichung
Invitation|Inbjudan|Invitation|Invitasjon|Einladung
Import and activate|Importera och aktivera|Importer og aktivér|Importer og aktiver|Importieren und aktivieren
Imported file|Importerad fil|Importeret fil|Importert fil|Importierte Datei
Invitation code|Inbjudningskod|Invitationskode|Invitasjonskode|Einladungscode
No active sections.|Inga aktiva sträckor.|Ingen aktive strækninger.|Ingen aktive strekninger.|Keine aktiven Streckenabschnitte.
No unsaved changes|Inga osparade ändringar|Ingen ugemte ændringer|Ingen ulagrede endringer|Keine ungespeicherten Änderungen
No rows match the filter.|Inga rader matchar filtret.|Ingen rækker matcher filteret.|Ingen rader samsvarer med filteret.|Keine Zeilen passen zum Filter.
No backups yet. The first will be created at the next software update.|Inga säkerhetskopior finns än. Den första tas vid nästa programuppdatering.|Ingen sikkerhedskopier endnu. Den første oprettes ved næste softwareopdatering.|Ingen sikkerhetskopier ennå. Den første opprettes ved neste programoppdatering.|Noch keine Sicherungen. Die erste wird beim nächsten Softwareupdate erstellt.
No trains found.|Inga tåg hittades.|Ingen tog fundet.|Ingen tog funnet.|Keine Züge gefunden.
No trains in the timetable.|Inga tåg i tidtabellen.|Ingen tog i køreplanen.|Ingen tog i rutetabellen.|Keine Züge im Fahrplan.
No Cloud connection|Ingen Cloud-koppling|Ingen Cloud-forbindelse|Ingen Cloud-tilkobling|Keine Cloud-Verbindung
No physical TMBox has registered yet.|Ingen fysisk TMBox har presenterat sig ännu.|Ingen fysisk TMBox har registreret sig endnu.|Ingen fysisk TMBox har registrert seg ennå.|Noch keine physische TMBox registriert.
No local meet selected|Ingen lokal träff vald|Intet lokalt træf valgt|Ingen lokalt treff valgt|Kein lokales Treffen ausgewählt
No local version|Ingen lokal version|Ingen lokal version|Ingen lokal versjon|Keine lokale Version
Inside stations|Inne på stationerna|Inde på stationerne|Inne på stasjonene|In den Betriebsstellen
Install and restart|Installera och starta om|Installér og genstart|Installer og start på nytt|Installieren und neu starten
Unused|Inte använd|Ikke brugt|Ikke brukt|Nicht verwendet
I have an invitation code|Jag har en inbjudningskod|Jeg har en invitationskode|Jeg har en invitasjonskode|Ich habe einen Einladungscode
Click a train to highlight its route|Klicka på ett tåg för att tända rutten|Klik på et tog for at fremhæve ruten|Klikk på et tog for å fremheve ruten|Zug anklicken, um den Laufweg hervorzuheben
Configuration source|Konfigurationskälla|Konfigurationskilde|Konfigurasjonskilde|Konfigurationsquelle
Clock style|Klockstil|Urtype|Klokkestil|Uhrstil
Button model|Knappmodell|Knapmodel|Knappemodell|Tastenmodell
Code on the box|Kod på lådan|Kode på boksen|Kode på boksen|Code auf der Box
Code for|Kod till|Kode til|Kode til|Code für
Code valid for|Koden gäller|Koden gælder|Koden gjelder|Code gültig für
Configuration server|Konfigurationsserver|Konfigurationsserver|Konfigurasjonsserver|Konfigurationsserver
Check before activation|Kontrollera före aktivering|Kontrollér før aktivering|Kontroller før aktivering|Vor Aktivierung prüfen
Copy to local draft|Kopiera till lokalt utkast|Kopiér til lokal kladde|Kopier til lokalt utkast|In lokalen Entwurf kopieren
Link|Koppla|Forbind|Koble til|Verbinden
Connect or change meet|Koppla eller byt träff|Forbind eller skift træf|Koble til eller bytt treff|Treffen verbinden oder wechseln
Pair a TMBox|Koppla en TMBox|Par en TMBox|Par en TMBox|TMBox koppeln
Connect a published meet using a six-digit code.|Koppla en publicerad träff med en sexsiffrig kod.|Forbind et publiceret træf med en sekscifret kode.|Koble til et publisert treff med en sekssifret kode.|Veröffentlichtes Treffen mit einem sechsstelligen Code verbinden.
Connect and download|Koppla och hämta|Forbind og hent|Koble til og hent|Verbinden und herunterladen
Light|Ljust|Lyst|Lyst|Hell
Sign in to TrainMeet Server|Logga in på TrainMeet Server|Log ind på TrainMeet Server|Logg inn på TrainMeet Server|Bei TrainMeet Server anmelden
Local TrainMeet Server|Lokal TrainMeet Server|Lokal TrainMeet Server|Lokal TrainMeet Server|Lokaler TrainMeet Server
Local traffic|Lokal trafik|Lokal trafik|Lokal trafikk|Lokaler Verkehr
Local traffic server|Lokal trafikserver|Lokal trafikserver|Lokal trafikkserver|Lokaler Betriebsserver
Local first.|Lokalt först.|Lokalt først.|Lokalt først.|Lokal zuerst.
Local draft|Lokalt utkast|Lokal kladde|Lokalt utkast|Lokaler Entwurf
Mode|Läge|Tilstand|Modus|Modus
Add panel|Lägg till panel|Tilføj panel|Legg til panel|Panel hinzufügen
Add section|Lägg till sträcka|Tilføj strækning|Legg til strekning|Streckenabschnitt hinzufügen
Leave build mode|Lämna byggläget|Forlad byggetilstand|Forlat byggemodus|Aufbaumodus verlassen
Share the code. Valid for seven days and usable once.|Lämna över koden. Den gäller i sju dagar och kan bara användas en gång.|Giv koden videre. Den gælder i syv dage og kan kun bruges én gang.|Gi koden videre. Den gjelder i sju dager og kan bare brukes én gang.|Gib den Code weiter. Er gilt sieben Tage und kann nur einmal verwendet werden.
Loading active meet …|Läser aktiv träff …|Indlæser aktivt træf …|Laster aktivt treff …|Aktives Treffen wird geladen …
Loading server status …|Läser in serverstatus …|Indlæser serverstatus …|Laster serverstatus …|Serverstatus wird geladen …
Loading meet …|Läser in träffen …|Indlæser træffet …|Laster treffet …|Treffen wird geladen …
Loading clock …|Läser klockan …|Indlæser ur …|Laster klokke …|Uhr wird geladen …
Loading code …|Läser koden …|Indlæser kode …|Laster kode …|Code wird geladen …
Loading station plan …|Läser stationsplanen …|Indlæser stationsplan …|Laster stasjonsplan …|Betriebsstellenplan wird geladen …
Loading timetable …|Läser tidtabellen …|Indlæser køreplan …|Laster rutetabell …|Fahrplan wird geladen …
Loading traffic state …|Läser trafikläget …|Indlæser driftstilstand …|Laster trafikkstatus …|Betriebszustand wird geladen …
Loading version …|Läser version …|Indlæser version …|Laster versjon …|Version wird geladen …
Manual|Manuell|Manuel|Manuell|Manuell
Select all|Markera alla|Vælg alle|Velg alle|Alle auswählen
Name of the data being overwritten|Namnet på det som skrivs över|Navnet på det, der overskrives|Navnet på det som overskrives|Name der zu überschreibenden Daten
This name is shown in administration to distinguish servers.|Namnet visas i admin och hjälper er att skilja flera servrar åt.|Navnet vises i administrationen og hjælper med at skelne servere.|Navnet vises i administrasjonen og hjelper med å skille servere.|Dieser Name wird in der Verwaltung angezeigt, um Server zu unterscheiden.
Reset meet data|Nollställ träffdata|Nulstil træfdata|Tilbakestill treffdata|Treffendaten zurücksetzen
New local draft|Nytt lokalt utkast|Ny lokal kladde|Nytt lokalt utkast|Neuer lokaler Entwurf
Panels|Paneler|Paneler|Paneler|Panels
Loading panels …|Panelerna läses in …|Indlæser paneler …|Laster paneler …|Panels werden geladen …
Panel name|Panelnamn|Panelnavn|Panelnavn|Panelname
On the line now|På linjen just nu|På strækningen nu|På strekningen nå|Jetzt auf der Strecke
Reference|Referens|Reference|Referanse|Referenz
Scenarios|Scenarier|Scenarier|Scenarioer|Szenarien
Seconds|Sekunder|Sekunder|Sekunder|Sekunden
Last server acknowledgement|Senaste kvittens från servern|Seneste kvittering fra serveren|Siste kvittering fra serveren|Letzte Serverbestätigung
Server checks every 15 seconds and activates new published versions when available.|Servern söker var 15:e sekund och aktiverar en ny publicerad version när den finns.|Serveren kontrollerer hvert 15. sekund og aktiverer nye publicerede versioner, når de er tilgængelige.|Serveren sjekker hvert 15. sekund og aktiverer nye publiserte versjoner når de er tilgjengelige.|Der Server prüft alle 15 Sekunden und aktiviert verfügbare neue Veröffentlichungen.
The server is the editor during the meet. Correct times and tracks locally.|Servern är redaktör under träffen. Rätta tider och spår på plats.|Serveren er redaktør under træffet. Ret tider og spor lokalt.|Serveren er redaktør under treffet. Rett tider og spor lokalt.|Der Server dient während des Treffens als Editor. Zeiten und Gleise vor Ort korrigieren.
The server's active station plan and timetable.|Serverns körande stationsplan och tidtabell.|Serverens aktive stationsplan og køreplan.|Serverens aktive stasjonsplan og rutetabell.|Aktiver Betriebsstellenplan und Fahrplan des Servers.
Server station plan|Serverns stationsplan|Serverens stationsplan|Serverens stasjonsplan|Betriebsstellenplan des Servers
Six-digit meet code, one digit per field|Sexsiffrig träffkod, en siffra per fält|Sekscifret træfkode, ét ciffer pr. felt|Sekssifret treffkode, ett siffer per felt|Sechsstelliger Treffencode, eine Ziffer pro Feld
Digit 1 of 6|Siffra 1 av 6|Ciffer 1 af 6|Siffer 1 av 6|Ziffer 1 von 6
Digit 2 of 6|Siffra 2 av 6|Ciffer 2 af 6|Siffer 2 av 6|Ziffer 2 von 6
Digit 3 of 6|Siffra 3 av 6|Ciffer 3 af 6|Siffer 3 av 6|Ziffer 3 von 6
Digit 4 of 6|Siffra 4 av 6|Ciffer 4 af 6|Siffer 4 av 6|Ziffer 4 von 6
Digit 5 of 6|Siffra 5 av 6|Ciffer 5 af 6|Siffer 5 av 6|Ziffer 5 von 6
Digit 6 of 6|Siffra 6 av 6|Ciffer 6 af 6|Siffer 6 av 6|Ziffer 6 von 6
Enter|Skriv|Skriv|Skriv|Eingeben
Enter the code on the box and choose its station.|Skriv koden på lådan och välj vilken station den ska tjänstgöra vid.|Skriv koden på boksen og vælg dens station.|Skriv koden på boksen og velg stasjonen den skal betjene.|Gib den Code auf der Box ein und wähle ihre Betriebsstelle.
Meet displays|Skärmar på träffen|Skærme på træffet|Skjermer på treffet|Anzeigen beim Treffen
Display catalog|Skärmkatalog|Skærmkatalog|Skjermkatalog|Anzeigenkatalog
Finish and restart|Slutför och starta om|Afslut og genstart|Fullfør og start på nytt|Abschließen und neu starten
Fastest path to an operational meet|Snabbaste vägen till en körbar träff|Hurtigste vej til et køreklar træf|Raskeste vei til et kjøreklart treff|Schnellster Weg zu einem betriebsbereiten Treffen
Save sign-in|Spara inloggning|Gem login|Lagre innlogging|Anmeldung speichern
Save and activate|Spara och aktivera|Gem og aktivér|Lagre og aktiver|Speichern und aktivieren
Save and continue|Spara och fortsätt|Gem og fortsæt|Lagre og fortsett|Speichern und weiter
Save server name|Spara servernamn|Gem servernavn|Lagre servernavn|Servernamen speichern
Restart server|Starta om servern|Genstart serveren|Start serveren på nytt|Server neu starten
Fast clock start time|Starttid på träffklockan|Starttid på modeluret|Starttid på modellklokken|Startzeit der Modellzeituhr
Stations and sections|Stationer och sträckor|Stationer og strækninger|Stasjoner og strekninger|Betriebsstellen und Streckenabschnitte
Stations, sections and panels|Stationer, sträckor och paneler|Stationer, strækninger og paneler|Stasjoner, strekninger og paneler|Betriebsstellen, Streckenabschnitte und Panels
Station name|Stationsnamn|Stationsnavn|Stasjonsnavn|Betriebsstellenname
Step|Steg|Trin|Trinn|Schritt
Close server menu|Stäng servermenyn|Luk servermenuen|Lukk servermenyen|Servermenü schließen
Close station information|Stäng stationsinformationen|Luk stationsinformationen|Lukk stasjonsinformasjonen|Betriebsstelleninformationen schließen
Backups|Säkerhetskopior|Sikkerhedskopier|Sikkerhetskopier|Sicherungen
Safety rule:|Säkerhetsregel:|Sikkerhedsregel:|Sikkerhetsregel:|Sicherheitsregel:
Set password|Sätt lösenord|Angiv adgangskode|Angi passord|Passwort festlegen
Search trains|Sök tåg|Søg tog|Søk tog|Züge suchen
Search…|Sök…|Søg…|Søk…|Suchen …
TMBox views|TMBox-vyer|TMBox-visninger|TMBox-visninger|TMBox-Ansichten
TMBoxes|TMBoxar|TMBoxe|TMBoxer|TMBoxen
Meet and station plan|Träff och stationsplan|Træf og stationsplan|Treff og stasjonsplan|Treffen und Betriebsstellenplan
Restore an earlier server version|Ta tillbaka en tidigare version av servern|Gendan en tidligere serverversion|Gjenopprett en tidligere serverversjon|Frühere Serverversion wiederherstellen
Test client|Testklient|Testklient|Testklient|Testclient
The timetable has no train routes.|Tidtabellen saknar tågrutter.|Køreplanen har ingen togruter.|Rutetabellen har ingen togruter.|Der Fahrplan enthält keine Zuglaufwege.
Until further notice|Tills vidare|Indtil videre|Inntil videre|Bis auf Weiteres
Operating day|Trafikdag|Driftsdag|Driftsdag|Betriebstag
Traffic overview|Trafiköversikt|Trafikoversigt|Trafikkoversikt|Betriebsübersicht
TrainMeet Cloud has published a new version|TrainMeet Cloud har publicerat en ny version|TrainMeet Cloud har publiceret en ny version|TrainMeet Cloud har publisert en ny versjon|TrainMeet Cloud hat eine neue Version veröffentlicht
Meet|Träffen|Træffet|Treffet|Treffen
The meet keeps running. Nothing changes for operators until you activate.|Träffen fortsätter köra. Inget ändras för operatörerna förrän du aktiverar.|Træffet fortsætter. Intet ændres for operatørerne, før du aktiverer.|Treffet fortsetter. Ingenting endres for operatørene før du aktiverer.|Das Treffen läuft weiter. Bis zur Aktivierung ändert sich nichts für die Bediener.
The meet runs on the active version until a new one is activated.|Träffen kör på den aktiva versionen tills du aktiverar en ny.|Træffet kører på den aktive version, indtil du aktiverer en ny.|Treffet kjører på den aktive versjonen til du aktiverer en ny.|Das Treffen läuft mit der aktiven Version, bis du eine neue aktivierst.
The meet keeps running on the active version until activation.|Träffen kör vidare på den aktiva versionen tills du aktiverar.|Træffet fortsætter på den aktive version indtil aktivering.|Treffet fortsetter på den aktive versjonen til aktivering.|Das Treffen läuft bis zur Aktivierung mit der aktiven Version weiter.
Meet source|Träffens källa|Træffets kilde|Treffets kilde|Quelle des Treffens
Meet mode|Träffens läge|Træffets tilstand|Treffets modus|Treffenmodus
Meet code|Träffkod|Træfkode|Treffkode|Treffencode
Train graph|Tågdiagram|Togdiagram|Togdiagram|Bildfahrplan
Train number, track, note|Tågnummer, spår, anteckning|Tognummer, spor, note|Tognummer, spor, notat|Zugnummer, Gleis, Notiz
Train routes|Tågrutter|Togruter|Togruter|Zuglaufwege
Draft is empty|Utkastet är tomt|Kladden er tom|Utkastet er tomt|Entwurf ist leer
Validate file|Validera filen|Validér filen|Valider filen|Datei prüfen
Where does the meet come from?|Var kommer träffen ifrån?|Hvor kommer træffet fra?|Hvor kommer treffet fra?|Woher stammt das Treffen?
Each panel belongs to a station. Keys A–D connect directly to its sections.|Varje panel tillhör en station. Tangenterna A–D kopplas direkt till stationens sträckor.|Hvert panel tilhører en station. Tasterne A–D forbindes direkte til stationens strækninger.|Hvert panel tilhører en stasjon. Tastene A–D kobles direkte til stasjonens strekninger.|Jedes Panel gehört zu einer Betriebsstelle. Die Tasten A–D sind direkt ihren Streckenabschnitten zugeordnet.
Version downloaded|Version hämtad|Version hentet|Versjon lastet ned|Version heruntergeladen
Show connection details|Visa anslutningsuppgifter|Vis forbindelsesoplysninger|Vis tilkoblingsopplysninger|Verbindungsdaten anzeigen
Show or hide seconds hand|Visa eller dölj sekundvisaren|Vis eller skjul sekundviseren|Vis eller skjul sekundviseren|Sekundenzeiger ein- oder ausblenden
Choose your password|Välj ditt lösenord|Vælg din adgangskode|Velg passordet ditt|Eigenes Passwort wählen
Choose a train in the list, layout overview or train graph.|Välj ett tåg i listan, banöversikten eller tågdiagrammet.|Vælg et tog i listen, baneoversigten eller togdiagrammet.|Velg et tog i listen, baneoversikten eller togdiagrammet.|Wähle einen Zug in der Liste, Anlagenübersicht oder im Bildfahrplan.
